Date,Outlet,ProductId,ProductName,Variant,Category,QuantitySold,DayOfWeek,DayOfWeekNum
2025-01-02,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Thursday,3
2025-01-03,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Friday,4
2025-01-04,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Saturday,5
2025-01-05,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Sunday,6
2025-01-06,SHOP001,5,Americano,Ice Houesblend,Coffee,3,Monday,0
2025-01-07,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Tuesday,1
2025-01-08,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Wednesday,2
2025-01-09,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Thursday,3
2025-01-10,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Friday,4
2025-01-11,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Saturday,5
2025-01-12,SHOP001,5,Americano,Ice Houesblend,Coffee,3,Sunday,6
2025-01-13,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Monday,0
2025-01-14,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Tuesday,1
2025-01-15,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Wednesday,2
2025-01-16,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Thursday,3
2025-01-17,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Friday,4
2025-01-18,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Saturday,5
2025-01-19,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Sunday,6
2025-01-20,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Monday,0
2025-01-21,SHOP001,5,Americano,Ice Houesblend,Coffee,3,Tuesday,1
2025-01-22,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Wednesday,2
2025-01-23,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Thursday,3
2025-01-24,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Friday,4
2025-01-25,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Saturday,5
2025-01-26,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Sunday,6
2025-01-27,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Monday,0
2025-01-28,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Tuesday,1
2025-01-29,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Wednesday,2
2025-01-30,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Thursday,3
2025-01-31,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Friday,4
2025-02-01,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Saturday,5
2025-02-02,SHOP001,5,Americano,Ice Houesblend,Coffee,3,Sunday,6
2025-02-03,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Monday,0
2025-02-04,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Tuesday,1
2025-02-05,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Wednesday,2
2025-02-06,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Thursday,3
2025-02-07,SHOP001,5,Americano,Ice Houesblend,Coffee,4,Friday,4
2025-02-08,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Saturday,5
2025-02-09,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Sunday,6
2025-02-10,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Monday,0
2025-02-11,SHOP001,5,Americano,Ice Houesblend,Coffee,3,Tuesday,1
2025-02-12,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Wednesday,2
2025-02-13,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Thursday,3
2025-02-14,SHOP001,5,Americano,Ice Houesblend,Coffee,3,Friday,4
2025-02-15,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Saturday,5
2025-02-16,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Sunday,6
2025-02-17,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Monday,0
2025-02-18,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Tuesday,1
2025-02-19,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Wednesday,2
2025-02-20,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Thursday,3
2025-02-21,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Friday,4
2025-02-22,SHOP001,5,Americano,Ice Houesblend,Coffee,3,Saturday,5
2025-02-23,SHOP001,5,Americano,Ice Houesblend,Coffee,3,Sunday,6
2025-02-24,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Monday,0
2025-02-25,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Tuesday,1
2025-02-26,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Wednesday,2
2025-02-27,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Thursday,3
2025-02-28,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Friday,4
2025-03-01,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Saturday,5
2025-03-02,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Sunday,6
2025-03-03,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Monday,0
2025-03-04,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Tuesday,1
2025-03-05,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Wednesday,2
2025-03-06,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Thursday,3
2025-03-07,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Friday,4
2025-03-08,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Saturday,5
2025-03-09,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Sunday,6
2025-03-10,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Monday,0
2025-03-11,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Tuesday,1
2025-03-12,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Wednesday,2
2025-03-13,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Thursday,3
2025-03-14,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Friday,4
2025-03-15,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Saturday,5
2025-03-16,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Sunday,6
2025-03-17,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Monday,0
2025-03-18,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Tuesday,1
2025-03-19,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Wednesday,2
2025-03-20,SHOP001,5,Americano,Ice Houesblend,Coffee,2,Thursday,3
2025-03-21,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Friday,4
2025-03-22,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Saturday,5
2025-03-23,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Sunday,6
2025-03-24,SHOP001,5,Americano,Ice Houesblend,Coffee,0,Monday,0
2025-03-25,SHOP001,5,Americano,Ice Houesblend,Coffee,1,Tuesday,1
