Outlet,ProductId,ProductName,Variant,MAE,RMSE,ExactAccuracy,Within1Accuracy,Bias,TotalActual,TotalForecast
SHOP001,10,BLACK,-,0.6630434782608695,0.9148532788043832,0.41304347826086957,0.9347826086956522,0.11956521739130435,82.0,93.0
SHOP001,11,BLACK,Houseblend,0.8586956521739131,1.1082693127418162,0.30434782608695654,0.8586956521739131,-0.18478260869565216,127.0,110.0
SHOP001,12,BLACK,Arabica,0.8260869565217391,1.0934588121703732,0.31521739130434784,0.8913043478260869,-0.043478260869565216,104.0,100.0
SHOP001,13,Banana Bread,Chocolate,0.8478260869565217,1.2510864843424485,0.3804347826086957,0.8478260869565217,-0.10869565217391304,106.0,96.0
SHOP001,14,Banana Bread,Original,0.8260869565217391,1.1887150534341144,0.3804347826086957,0.8478260869565217,-0.10869565217391304,121.0,111.0
SHOP001,15,Basic Latte,Hot Arabica,0.8043478260869565,1.0215078369104984,0.30434782608695654,0.9021739130434783,0.043478260869565216,100.0,104.0
SHOP001,16,Basic Latte,Ice Houseblend,0.6739130434782609,0.9325048082403138,0.41304347826086957,0.9239130434782609,0.0,96.0,96.0
SHOP001,17,Basic Latte,Hot Houseblend,0.782608695652174,1.0529461772445508,0.34782608695652173,0.9021739130434783,-0.08695652173913043,103.0,95.0
SHOP001,18,Basic Latte,Ice Arabica,0.8043478260869565,1.1515584902738285,0.391304347826087,0.8586956521739131,-0.21739130434782608,125.0,105.0
SHOP001,19,Berry Cake,-,0.8260869565217391,1.06321906614239,0.30434782608695654,0.8913043478260869,0.0,93.0,93.0
SHOP001,20,Biru,-,0.782608695652174,1.0215078369104984,0.34782608695652173,0.8695652173913043,-0.043478260869565216,99.0,95.0
SHOP001,21,Biru (Gedhe),-,0.7391304347826086,1.0834726777719228,0.42391304347826086,0.8804347826086957,-0.2391304347826087,114.0,92.0
SHOP001,22,Black Rice,Ice,0.8913043478260869,1.1887150534341144,0.31521739130434784,0.8478260869565217,-0.10869565217391304,112.0,102.0
SHOP001,23,Black Rice,Hot,0.8260869565217391,1.0529461772445508,0.29347826086956524,0.9021739130434783,-0.1956521739130435,116.0,98.0
SHOP001,24,Burnt Sugar,-,0.9021739130434783,1.174919053641014,0.29347826086956524,0.8478260869565217,-0.010869565217391304,95.0,94.0
SHOP001,25,Butterscotch,-,1.0326086956521738,1.347300037595319,0.2608695652173913,0.7717391304347826,-0.09782608695652174,121.0,112.0
SHOP001,26,Butterscotch Latte (Gedhe),-,0.7934782608695652,1.1373118573502894,0.391304347826087,0.8695652173913043,-0.11956521739130435,119.0,108.0
SHOP001,27,Candy Latte,-,0.6304347826086957,1.0,0.4891304347826087,0.9130434782608695,-0.08695652173913043,100.0,92.0
SHOP001,28,Candy Latte (Gedhe),-,0.8804347826086957,1.2113592796308725,0.33695652173913043,0.8478260869565217,-0.07608695652173914,113.0,106.0
SHOP001,29,Cappuccino,Hot Houseblend,0.9021739130434783,1.1841342462083757,0.2826086956521739,0.8586956521739131,-0.11956521739130435,109.0,98.0
SHOP001,3,Air Mineral,-,0.6630434782608695,0.9835605239881408,0.44565217391304346,0.9239130434782609,-0.07608695652173914,103.0,96.0
SHOP001,30,Cappuccino,Hot Arabica,0.8260869565217391,1.1131623577819225,0.34782608695652173,0.8586956521739131,-0.08695652173913043,112.0,104.0
